,ID_long,add_info,notes
3,3104718669-60949-007_3104718669-60949-008,"BRE Certified 04/08/1959
Processed 04/13/1959
Certified to Sponsor 04/09/1959","Income for the head of household indicated ""Home""."
7,3104718669-60949-015_3104718669-60949-016,"Licensed 06/29/1959
BRE Certified Substandard 06/29/1959
Processed 07/09/1959","Address in Front of card indicates 163-165 West 62
Floor number is unclear.
Income has a question mark in it
Unclear what the income source is."
13,3104734180-60950-011_3104734180-60950-012,"BRE Cert Substandard No Central Heat
01/14/ Licensed",Some information in the “Additional Information” section is unclear.
22,3104744331-60951-013_3104744331-60951-014,BRE Cert 04/10/1959 - Processed 04/14/1959,Revised on 01/26/2024.
23,3104744331-60951-015_3104744331-60951-016,"02/01/1959 98 Vermilyea Ave 3@58-
04/11/1959 862 10th Ave@5214
BRE Cert 04/15/1959 Processed 04/15/1959",Second son has a line crossing it. Date moved in only includes the year. Employment information is of the first son.
27,3104750306-60952-005_3104750306-60952-006,BRE Cert 03/18/1959 Founded 03/23/1959,Income for W is unclear. Date moved in does not include date.
38,3105040525-60953-011_3105040525-60953-012,"BRE Cert OK 03/09/1959
03/10/1959 Cert to Sponsor
Listings 03/11/1959",Date Moved In only includes the year.
52,3105078105-60955-003_3105078105-60955-004,"Listings 04/17/1959 (Apr. 17-59), BRE Cert OK 4/20/1959",Revised on 01/31/2024
57,3105078105-60955-013_3105078105-60955-014,"BRE Cert 4/10/59
Processed 4/13/59",The family moved to Ravenswood Houses (public housing) in Astoria
63,3105082501-60956-001_3105082501-60956-002,"Tenant want home 1st fl. in this area. 
BRE Cert 03/19/1959. Processed 04/01/1959. 
03/25/1959 No Claim Moving. 
03/20/1959 Off Site Standard. ",Date Moved In only includes the year. Card indicated the person will relocate themselves.
73,3105086719-60957-003_3105086719-60957-004,"BRE Cert OK 4/1/59
Listings 2/5/59
4/2/59 Standard Apt. ",Unclear whether apartment 5E or 5W.
97,3105160556-60959-005_3105160556-60959-006,"BRE. Cert. 4/7/59
Listings Apr. 2 - 59",
104,3105160556-60959-019_3105160556-60959-020,"BRE Cert. 03/25/1959 
Listing March. 26-59","- For “Relationship Per. No. 3” under Family Composition, they wrote 5 dots, which I assume from the “Relationship Per. No. 2 relationship which was “daughter” and their birthday that 
- Per. No. 3 is also a daughter but I entered the 5 dots re"
110,3105160556-60959-031_3105160556-60959-032,"listing 06/04/1959, bre cert ok 06/09/1959",
111,3105160556-60959-033_3105160556-60959-034,processed bre cert ok 06/19/1959,
119,3105164959-60960-015_3105164959-60960-016,"02/16/1959 Processed 
Standard apt by BRE 02/09/1959","For no. years in site it has the date (1943), I wrote in 15 years
Family relocation plan: number of rooms required: 2.5 or 3
Family relocation plan: max 60 ren
Relocated to: both Private rental housing and tenant found are marked
On site rent discrepancy, back lists 49.40 instead of 41.40
Gas or Elec fridge question is missing, answer is Yes (on site)


"
139,3105169069-60961-015_3105169069-60961-016,"bre cert ok processed 06/08/1959, listing 06/08/1959",
141,3105169069-60961-019_3105169069-60961-020,"listing 06/19/1959, bre cert ok 06/19/1959",
146,3105169069-60961-029_3105169069-60961-030,10/07/1958 processed w/o bre cert,
148,3105170895-60962-003_3105170895-60962-004,Listing 02/06/1959. BRE Cert OK 01/28/1959,New address is possibly 74 west 8th st. Not clear.
161,3105195350-60963-009_3105195350-60963-010,"bre cert 04/07/1959 , processed 04/13/1959",
170,3105195350-60963-027_3105195350-60963-028,"listing 02/13/1959, bre cert ok 02/28/1959",
188,3105211839-60965-023_3105211839-60965-024,"Listings April 20, 59
BRE Cert April 16, 1959","Income is listed at $124 but unclear whether pension is monthly, bi weekly, or weekly"
189,3105211839-60965-025_3105211839-60965-026,"12/11/58 Refused Queensbridge
BRE Cert 4/8/59 Processed 4/14/59",
190,3105211839-60965-027_3105211839-60965-028,BRE Cert 4/6/59 Processed 4/6/59,"Apartment number also says 3A
Gas and Electric refrigerator are both checked off but doesn’t say whether it’s landlord owned or tenant owned
"
196,3105211839-60965-039_3105211839-60965-040,BRE Cert 3/17/59,"Date just has the month listed (5)
Year and country of birth for H is crossed out
Widowed is circled
"
199,3105221470-60967-005_3105221470-60967-006,"07/08/1958 Tenant wants only Manhattan 4 or 5 rooms.
08/29/1958 Tenant was offered all apts #80 Eldridge st 4mo Rent to high Refused. 
BRE Cert Ok 12/15/1958",
209,3105228825-60968-003_3105228825-60968-004,BRE Cert 03/20/1959 Processed 03/26/1959,Tenants specified they wanted to relocate in the west side between 50s and 60s streets. Date Moved In only includes the year. A lot of missing information.
211,3105228825-60968-007_3105228825-60968-008,"BRE Cert 03/29/1959 
Processed 04/01/1959",Comment in the Welfare section indicates “none”. Tenant indicated they did not want to live in Public Housing. Date Moved In only includes the year. Tenant did not pay rent on the relocation site because they were the super.
233,3105247721-60970-007_3105247721-60970-008,"BRE Cert OK 7/24/59 

Listings 7-21-59",This card was mostly empty. New monthly rent is written as 115 + 1/3 heat.
235,3105247721-60970-011_3105247721-60970-012,"Four addresses are listed in the back with date, address, room # information, and monthly rent amount. Some notes written in parenthesis are strikethrough'd and unintelligible. 

BRE Cert 4/13/59
Listings Apr-10-59","Mother is listed as the first person in the family, ""D"" as the second. D has a weekly income of $50. Not sure whether marital status of ""widowed"" applied to mother or daughter. ""D""'s information in the family composition section is strikethrough'd. "
236,3105247721-60970-013_3105247721-60970-014,"8/20/58 For Process w/o BRE Cert [initials]
BRE Cert OK 8/11/58",
246,3105255100-60971-005_3105255100-60971-006,"7 addresses listed in this section, with date, address, number of rooms, and monthly rental listed. 

Listings Aug. 26-59
BRE Cert OK 9/3/59","Marital status written as ""single"", which I marked as Other. "
249,3105255100-60971-011_3105255100-60971-012,"11/24/58 Refused - Vladeck  - Too far 
Scheduled to move into: Millbrook Hses.
3/16/59 Processed
BRE Cert 3/12/59","family of 3. head was born in Puerto Rico, wife is from Italy and daughter was born in Austria. race marked as Puerto Rican. wanted to move into public housing and moved to public housing. "
250,3105255100-60971-013_3105255100-60971-014,"12/13 Sent tenant 338 W 17th St 4 rms $65 E.G. 
Listings Mar. 4/59 
BRE Cert OK 3/9/59 ",The head of the household is legally wed but the spouse isn't listed among the family members
251,3105255100-60971-015_3105255100-60971-016,"12/9/58 Proc. w/o BRE Cert
BRE Cert OK 12/11/58",Family has been in location for less than 2 months before the date of the first interview.
263,3105257795-60972-015_3105257795-60972-016,"[stamped date] Dec 18 1958
To listings
BRE Cert OK 12/16/58",
271,3105260901-60973-007_3105260901-60973-008,"listing 02/18/1959, bre cert 02/18/1959",
274,3105260901-60973-013_3105260901-60973-014,"listing 06/22/1959, bre cert ok 05/27/1959",
275,3105260901-60973-015_3105260901-60973-016,"listing 05/11/1959, bre cert ok 05/13/1959",
277,3105260901-60973-019_3105260901-60973-020,bre cert 03/18/1959 - forwarded 03/23/1959,
278,3105260901-60973-021_3105260901-60973-022,"listing 03/10/1959, bre cert ok 03/17",
281,3105260901-60973-027_3105260901-60973-028,bre cert 03/25/1959 processed 04/01/1959,
282,3105260901-60973-029_3105260901-60973-030,"bre cert 03/25/1959, processed 04/01/1959",
284,3105271794-60974-003_3105271794-60974-004,"bre cert 03/26/1959, processed 04/01/1959",
