ID_long,h_type,room_cnt_os.x,p01_plc_2,p02_plc_2,p03_plc_2,p04_plc_2,p05_plc_2,p06_plc_2,p07_plc_2,p08_plc_2,p09_plc_2,p010_plc_2,p011_plc_2,p012_plc_2,p01_plcrec_2,p02_plcrec_2,p03_plcrec_2,p04_plcrec_2,p05_plcrec_2,p06_plcrec_2,p07_plcrec_2,p08_plcrec_2,p09_plcrec_2,p010_plcrec_2,p011_plcrec_2,p012_plcrec_2,p01_rel_2,p02_rel_2,p03_rel_2,p04_rel_2,p05_rel_2,p06_rel_2,p07_rel_2,p08_rel_2,p09_rel_2,p010_rel_2,p011_rel_2,p012_rel_2,p01_age,p02_age,p03_age,p04_age,p05_age,p06_age,p07_age,p08_age,p09_age,p010_age,p011_age,p012_age,fam_size2,race2,pr_hh,pr_pop_hh,no_year_site2,no_year_city2,rent_os_grss,ann_inc_sum,rent_ut,hh_brdn_rent,hh_brdn_rent_ut,room_cnt_os,ovrcrwd,ovr_grp
3104718669-60949-001_3104718669-60949-002,Apartment,4,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Step Daughter,Step Son,NA,NA,NA,NA,NA,NA,NA,NA,27,38,17,12,NA,NA,NA,NA,NA,NA,NA,NA,4,Puerto Rican,1,4,1,9,603,2976,675,20.26209677,22.68145161,4,1,1.00 or less
3104718669-60949-003_3104718669-60949-004,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,27,27,7,4,3,NA,NA,NA,NA,NA,NA,NA,5,NA,0,0,4,10,524.4,4160,524.4,12.60576923,12.60576923,4,1.25,1.01 to 1.50
3104718669-60949-005_3104718669-60949-006,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,56,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,3,50,662.4,5000,770.4,13.248,15.408,4,0.75,1.00 or less
3104718669-60949-007_3104718669-60949-008,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,18,24,524.4,2600,620.4,20.16923077,23.86153846,4,0.5,1.00 or less
3104718669-60949-009_3104718669-60949-010,Apartment,4,Italy,Italy,USA,USA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,59,54,25,17,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,20,35,621,5720,717,10.85664336,12.53496503,4,1,1.00 or less
3104718669-60949-011_3104718669-60949-012,Apartment,4,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,16,40,496.8,651.6,496.8,76.24309392,76.24309392,4,0.25,1.00 or less
3104718669-60949-013_3104718669-60949-014,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,20,71,552,1764,552,31.29251701,31.29251701,4,0.5,1.00 or less
3104718669-60949-015_3104718669-60949-016,Apartment,2,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Oriental,0,0,NA,NA,552,NA,552,NA,NA,2,0.5,1.00 or less
3104734180-60950-001_3104734180-60950-002,Apartment,4,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,23,92,303.6,NA,333.6,NA,NA,4,0.25,1.00 or less
3104734180-60950-003_3104734180-60950-004,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,33,31,13,5,3,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,33,33,0,5200,120,0,2.307692308,4,1.25,1.01 to 1.50
3104734180-60950-005_3104734180-60950-006,Apartment,4,USA,USA,Italy,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,Mother of 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,45,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,29,46,317.4,3000,659.4,10.58,21.98,4,0.75,1.00 or less
3104734180-60950-007_3104734180-60950-008,Apartment,4,PR,PR,USA,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puerto Rican,1,3,7,8,365.04,3224,515.04,11.32258065,15.9751861,4,0.75,1.00 or less
3104734180-60950-009_3104734180-60950-010,Apartment,4,Cuba,Cuba,Cuba,NA,NA,NA,NA,NA,NA,NA,,,Caribbean,Caribbean,Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Cousin,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,NA,0.333333333,396,7280,600,5.43956044,8.241758242,4,0.75,1.00 or less
3104734180-60950-011_3104734180-60950-012,Apartment,4,Yugoslavia,Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,14,17,276,2900,378,9.517241379,13.03448276,4,0.5,1.00 or less
3104734180-60950-013_3104734180-60950-014,Apartment,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,34,30,10,8,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,26,34,276,8100,492,3.407407407,6.074074074,NA,NA,NA
3104734180-60950-015_3104734180-60950-016,Apartment,4,Morta,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,8,28,276,2756,312,10.01451379,11.32075472,4,0.25,1.00 or less
3104744331-60951-001_3104744331-60951-002,Apartment,NA,PR,PR,PR,PR,PR,NA,NA,NA,NA,NA,,,PR,PR,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,38,32,6,4,2,NA,NA,NA,NA,NA,NA,NA,5,NA,1,5,NA,NA,412.56,NA,412.56,NA,NA,NA,NA,NA
3104744331-60951-003_3104744331-60951-004,Apartment,4,Ireland,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,Europe,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,45,NA,24,18,16,12,NA,NA,NA,NA,NA,NA,6,White,0,0,18,39,264,NA,444,NA,NA,4,1.5,1.01 to 1.50
